ID,Name,City,County,Zip Code,Latitude,Longitude,Landfill Owner Organization(s),Current Landfill Status,Waste_Tons,resize,LFG Collection System In Place?,LFG_Collected,lfg_size,LFG Energy Project Type,Current Year Emission Reductions (MMTCO2e/yr) - Direct,reduction_size,color
493,Kankakee County RDF,Chebanse,Kankakee,60922,41.031,-87.8624,"Waste Management, Inc.",Closed,3336571,6,Yes,0.206,2.472,Reciprocating Engine,,0,darkblue
493,Kankakee County RDF,Chebanse,Kankakee,60922,41.031,-87.8624,"Waste Management, Inc.",Closed,3336571,6,Yes,0.206,2.472,Reciprocating Engine,,0,darkblue
498,Streator Area LF No. 3,Streator,Livingston,61364,41.0916,-88.8521,"Republic Services, Inc.",Closed,2500000,5,Yes,0.477,5.724,Reciprocating Engine,,0,darkblue
2315,Prairie View RDF,Wilmington,Will,60481,41.34,-88.13,"Will County, IL",Open,11324812,11,Yes,4.945,59.34,Reciprocating Engine,0.1988,2.38548,skyblue
2315,Prairie View RDF,Wilmington,Will,60481,41.34,-88.13,"Will County, IL",Open,11324812,11,Yes,4.945,59.34,Vehicle Fuel,,0,skyblue
2309,LandComp Landfill,Ottawa,LaSalle,61350,41.347899,-88.913509,"Republic Services, Inc.",Open,4088786,6,Yes,0.895,10.74,Unknown,,0,skyblue
486,Morris Community LF,Morris,Grundy,60450,41.3716,-88.4026,City of Morris,Closed,1022000,3,No,0.265,3.18,Reciprocating Engine,,0,tan
487,Environtech LF,Morris,Grundy,60450,41.37299,-88.4026,"Republic Services, Inc.",Closed,7904743,9,Yes,0.887,10.644,Reciprocating Engine,,0,darkblue
487,Environtech LF,Morris,Grundy,60450,41.37299,-88.4026,"Republic Services, Inc.",Closed,7904743,9,Yes,0.887,10.644,Reciprocating Engine,,0,darkblue
12144,Quad Cities Landfill Phase IV,Milan,Rock Island,61264,41.379843,-90.510288,"Waste Connections, Inc.",Open,7671215,9,Yes,1.742,20.904,Unknown,,0,skyblue
510,"Quad Cities LF Phases 1, 2, & 3",Milan,Rock Island,61264,41.3825,-90.5128,"Republic Services, Inc.",Closed,5128385,7,Yes,0.393,4.716,Reciprocating Engine,,0,darkblue
521,Beecher Landfill,Beecher,Will,60401,41.3915,-87.6388,"Waste Management, Inc.",Closed,4613270,7,Yes,0.7,8.4,Reciprocating Engine,0.0000,0,darkblue
521,Beecher Landfill,Beecher,Will,60401,41.3915,-87.6388,"Waste Management, Inc.",Closed,4613270,7,Yes,0.7,8.4,Reciprocating Engine,0.0000,0,darkblue
521,Beecher Landfill,Beecher,Will,60401,41.3915,-87.6388,"Waste Management, Inc.",Closed,4613270,7,Yes,0.7,8.4,Reciprocating Engine,0.0655,0.78612,darkblue
1869,Taylor Ridge LF,Taylor Ridge,Rock Island,61284,41.44378,-90.67702,"Midwest Methane, Inc.",Closed,11168558,11,Yes,3.5,42,Unknown,,0,darkblue
523,Laraway RDF,Elwood,Will,60421,41.45101,-88.10807,"Waste Management, Inc.",Closed,693240,3,Yes,,0,Unknown,,0,darkblue
522,CDT LF,Rockdale,Will,60436,41.500371,-88.144914,CDT Landfill Corporation,Closed,1596000,4,Yes,0.5,6,Reciprocating Engine,0.0723,0.86748,darkblue
511,Upper Rock Island County LF,East Moline,Rock Island,61244,41.53629,-90.3766,"Republic Services, Inc.",Open,8078098,9,Yes,2.606,31.272,Unknown,,0,skyblue
511,Upper Rock Island County LF,East Moline,Rock Island,61244,41.53629,-90.3766,"Republic Services, Inc.",Open,8078098,9,Yes,2.606,31.272,Reciprocating Engine,,0,skyblue
511,Upper Rock Island County LF,East Moline,Rock Island,61244,41.53629,-90.3766,"Republic Services, Inc.",Open,8078098,9,Yes,2.606,31.272,Reciprocating Engine,,0,skyblue
1857,Lansing LF,Lansing,Cook,60438,41.586111,-87.55,Prairie Preservation,Closed,1300000,4,Yes,,0,Reciprocating Engine,,0,darkblue
527,River Bend Prairie Landfill,Dolton,Cook,60419,41.6446,-87.5979,Land and Lakes Company,Closed,12024778,11,Yes,0.847,10.164,Reciprocating Engine,,0,darkblue
476,Land & Lakes #1 and #2,Park Ridge,Cook,60068,41.644648,-87.59333,Land and Lakes Company,Closed,11183620,11,Yes,,0,Reciprocating Engine,,0,darkblue
474,CID Recycling and Disposal Facility,Chicago,Cook,60633,41.655,-87.578,"Waste Management, Inc.",Closed,31065972,18,Yes,1.893,22.716,Gas Turbine,0.0000,0,darkblue
474,CID Recycling and Disposal Facility,Chicago,Cook,60633,41.655,-87.578,"Waste Management, Inc.",Closed,31065972,18,Yes,1.893,22.716,Gas Turbine,0.0000,0,darkblue
474,CID Recycling and Disposal Facility,Chicago,Cook,60633,41.655,-87.578,"Waste Management, Inc.",Closed,31065972,18,Yes,1.893,22.716,Gas Turbine,0.1148,1.37712,darkblue
2322,Land & Lakes/Willow Ranch Landfill,Romeoville,Will,60446,41.670518,-88.062795,Land and Lakes Company,Closed,2000000,4,Yes,0.385,4.62,Reciprocating Engine,0.0181,0.21684,darkblue
477,Land & Lakes #3,Chicago,Cook,60633,41.6737,-87.5732,Land and Lakes Company,Closed,3307390,6,Yes,0.468,5.616,Reciprocating Engine,,0,darkblue
478,Paxton LF Corporation #2,Chicago,Cook,,41.68167,-87.57284,,Closed,9766782,10,Yes,0.962,11.544,Unknown,,0,darkblue
2321,Wheatland Prairie RDF,Plainfield,Will,60585,41.684,-88.239,"Waste Management, Inc.",Closed,4030302,6,Yes,0.18,2.16,Unknown,,0,darkblue
483,Greene Valley RDF,Naperville,DuPage,60565,41.73045,-88.07444,"Forest Preserve District of DuPage County, IL",Closed,16282279,13,Yes,3.382,40.584,Gas Turbine,0.0000,0,darkblue
483,Greene Valley RDF,Naperville,DuPage,60565,41.73045,-88.07444,"Forest Preserve District of DuPage County, IL",Closed,16282279,13,Yes,3.382,40.584,Gas Turbine,0.2169,2.60232,darkblue
2324,Lee County Landfill,Dixon,Lee,61021,41.731,-89.395,"Republic Services, Inc.",Open,20060052,14,Yes,4.738,56.856,Unknown,,0,skyblue
2324,Lee County Landfill,Dixon,Lee,61021,41.731,-89.395,"Republic Services, Inc.",Open,20060052,14,Yes,4.738,56.856,Reciprocating Engine,,0,skyblue
2324,Lee County Landfill,Dixon,Lee,61021,41.731,-89.395,"Republic Services, Inc.",Open,20060052,14,Yes,4.738,56.856,Reciprocating Engine,,0,skyblue
2314,Whiteside County Landfill,Morrison,Whiteside,61270,41.79635,-89.88612,"Whiteside County, IL",Open,8514486,9,Yes,2.756,33.072,Unknown,,0,skyblue
1859,31st Street Landfill,Westchester,Cook,60154,41.83894,-87.91497,Archdiocese of Chicago,Closed,9582454,10,Yes,0.95,11.4,Reciprocating Engine,,0,darkblue
491,Settler's Hill Recycling & Disposal Facility,Batavia,Kane,60510,41.86965,-88.28543,Kane County Department of Environmental Management,Closed,19560637,14,Yes,3.308,39.696,Gas Turbine,0.0000,0,darkblue
491,Settler's Hill Recycling & Disposal Facility,Batavia,Kane,60510,41.86965,-88.28543,Kane County Department of Environmental Management,Closed,19560637,14,Yes,3.308,39.696,Gas Turbine,0.0000,0,darkblue
491,Settler's Hill Recycling & Disposal Facility,Batavia,Kane,60510,41.86965,-88.28543,Kane County Department of Environmental Management,Closed,19560637,14,Yes,3.308,39.696,Gas Turbine,0.1807,2.16864,darkblue
1862,Congress Development Company LF,Hillside,Cook,60162,41.8721,-87.8885,Congress Development Company,Closed,8861616,9,Yes,3.705,44.46,Gas Turbine,,0,darkblue
480,DeKalb County LF,DeKalb,DeKalb,60115,41.898,-88.686,"Waste Management, Inc.",Open,6204969,8,Yes,2.465,29.58,Unknown,,0,skyblue
507,Rochelle Municipal #2,Rochelle,Ogle,61068,41.926,-88.997,"City of Rochelle, IL",Open,5372301,7,Yes,1.447,17.364,Reciprocating Engine,0.0809,0.97044,skyblue
484,Mallard Lake LF,Hanover Park,DuPage,60133,41.9525,-88.1442,"Forest Preserve District of DuPage County, IL",Closed,22433253,15,Yes,4.614,55.368,Combined Cycle,,0,darkblue
492,Woodland RDF,South Elgin,Kane,60177,41.98077,-88.269,"Waste Management, Inc.",Closed,7800000,9,Yes,2.34,28.08,Reciprocating Engine,0.0642,0.76992,darkblue
492,Woodland RDF,South Elgin,Kane,60177,41.98077,-88.269,"Waste Management, Inc.",Closed,7800000,9,Yes,2.34,28.08,Reciprocating Engine,0.1152,1.38252,darkblue
1866,Des Plaines Landfill,Des Plaines,Cook,60016,42.0689,-87.8653,Archdiocese of Chicago,Closed,6914370,8,Yes,0.376,4.512,Reciprocating Engine,,0,darkblue
1866,Des Plaines Landfill,Des Plaines,Cook,60016,42.0689,-87.8653,Archdiocese of Chicago,Closed,6914370,8,Yes,0.376,4.512,Reciprocating Engine,,0,darkblue
529,South Barrington Landfill,South Barrington,Cook,60010,42.0816,-88.13,"Republic Services, Inc.",Closed,1000000,3,Yes,0.912,10.944,Reciprocating Engine,0.0723,0.86748,darkblue
475,Lake LF,Northbrook,Cook,60062,42.1055,-87.8125,"Waste Management, Inc.",Closed,15786494,13,Yes,1.74,20.88,Gas Turbine,0.0000,0,darkblue
475,Lake LF,Northbrook,Cook,60062,42.1055,-87.8125,"Waste Management, Inc.",Closed,15786494,13,Yes,1.74,20.88,Gas Turbine,0.0000,0,darkblue
475,Lake LF,Northbrook,Cook,60062,42.1055,-87.8125,"Waste Management, Inc.",Closed,15786494,13,Yes,1.74,20.88,Gas Turbine,0.0000,0,darkblue
475,Lake LF,Northbrook,Cook,60062,42.1055,-87.8125,"Waste Management, Inc.",Closed,15786494,13,Yes,1.74,20.88,Gas Turbine,0.1220,1.46388,darkblue
1899,Orchard Hills Landfill Inc.,Davis Junction,Ogle,61020,42.14322,-89.0769,"Waste Management, Inc.",Open,32515162,18,Yes,8.757,105.084,Reciprocating Engine,0.1934,2.32044,skyblue
2418,Davis Junction Landfill,Davis Junction,Ogle,61020,42.147,-89.0825,"Republic Services, Inc.",Closed,,0,Yes,0.403,4.836,Reciprocating Engine,,0,darkblue
2323,Winnebago Landfill,Rockford,Winnebago,61109,42.1597,-89.0554,"Waste Connections, Inc.",Open,23175993,15,Yes,7.433,89.196,Reciprocating Engine,,0,skyblue
2323,Winnebago Landfill,Rockford,Winnebago,61109,42.1597,-89.0554,"Waste Connections, Inc.",Open,23175993,15,Yes,7.433,89.196,Unknown,,0,skyblue
2323,Winnebago Landfill,Rockford,Winnebago,61109,42.1597,-89.0554,"Waste Connections, Inc.",Open,23175993,15,Yes,7.433,89.196,Direct Thermal,,0,skyblue
2307,Freeport Municipal Landfill #4,Freeport,Stephenson,61032,42.2657,-89.6212,"City of Freeport, IL",Closed,780000,3,No,,0,Unknown,,0,tan
495,Countryside LF,Grayslake,Lake,60030,42.32424,-88.0289,"Waste Management, Inc.",Open,15997435,13,Yes,4.222,50.664,Reciprocating Engine,0.0000,0,skyblue
495,Countryside LF,Grayslake,Lake,60030,42.32424,-88.0289,"Waste Management, Inc.",Open,15997435,13,Yes,4.222,50.664,Gas Turbine,0.1789,2.14692,skyblue
2164,H.O.D. Landfill,Antioch,Lake,60002,42.476,-88.082,"Waste Management, Inc.",Closed,2000000,4,Yes,0.432,5.184,Cogeneration,,0,darkblue
494,Zion Landfill,Zion,Lake,60099,42.48483,-87.88497,GFL Environmental USA Inc.,Open,22421189,15,Yes,8.1,97.2,Reciprocating Engine,0.2440,2.92764,skyblue
494,Zion Landfill,Zion,Lake,60099,42.48483,-87.88497,GFL Environmental USA Inc.,Open,22421189,15,Yes,8.1,97.2,Reciprocating Engine,0.0633,0.759,skyblue
